company_id,name
CMP000000,Sony Group
CMP000001,Amazon LLC
CMP000002,Samsung Innovations
CMP000003,Roche Systems
CMP000004,Qualcomm
CMP000005,HydroMeta Ltd
CMP000006,Meta Platforms
CMP000007,Johnson AG
CMP000008,NanoMicrosoft Corp
CMP000009,Ford AG
CMP000010,HydroQualcomm Corp
CMP000011,Lockheed Group
CMP000012,Toyota Ltd
CMP000013,Microsoft AG
CMP000014,Apple
CMP000015,NeuroRoche LLC
CMP000016,Intel Research
CMP000017,QuantumGoogle Industries
CMP000018,SolarSony Holdings
CMP000019,QuantumIntel Ltd
CMP000020,Samsung Electronics
CMP000021,Lockheed LLC
CMP000022,TSMC Group
CMP000023,Intel Inc
CMP000024,Oracle GmbH
CMP000025,Honeywell Systems
CMP000026,Tesla
CMP000027,Merck
CMP000028,Panasonic
CMP000029,Microsoft SA
CMP000030,HydroMeta Technologies
CMP000031,QuantumQualcomm Corporation
CMP000032,SolarHoneywell SA
CMP000033,International Business Machines
CMP000034,Siemens
CMP000035,Cisco Systems
CMP000036,Nvidia
CMP000037,LG Electronics
CMP000038,BioLockheed Group
CMP000039,NanoSony SA
CMP000040,Broadcom
CMP000041,3M Inc
CMP000042,Raytheon
CMP000043,Robert Bosch
CMP000044,Sony Holdings
CMP000045,Broadcom Laboratories
CMP000046,Roche Research
CMP000047,Nvidia Innovations
CMP000048,Samsung LLC
CMP000049,CyberGoogle SA
CMP000050,HydroPfizer Corp
CMP000051,HydroCisco Holdings
CMP000052,Neuro3M Research
CMP000053,AMD Group
CMP000054,AeroGeneral Laboratories
CMP000055,General Holdings
CMP000056,Canon
CMP000057,CyberRobert Ltd
CMP000058,Texas Instruments
CMP000059,Pfizer Co
CMP000060,Qualcomm Innovations
CMP000061,Honeywell
CMP000062,Novartis
CMP000063,Oracle Corp
CMP000064,TSMC Research
CMP000065,International Research
CMP000066,Robert Laboratories
CMP000067,Merck Systems
CMP000068,NeuroTesla Corporation
CMP000069,NeuroGoogle Group
CMP000070,Huawei Technologies
CMP000071,Microsoft Corporation
CMP000072,SolarRobert SA
CMP000073,Johnson & Johnson
CMP000074,BioSiemens AG
CMP000075,Raytheon Research
CMP000076,Cisco Group
CMP000077,Texas Corporation
CMP000078,AMD Corp
CMP000079,Huawei Corporation
CMP000080,Oracle SA
CMP000081,General Group
CMP000082,Canon Corporation
CMP000083,QuantumHuawei Systems
CMP000084,SolarRaytheon Industries
