inventor_id,name,country
INV0000000,Andre Davis,US
INV0000001,Yuki Chen,GB
INV0000002,Robert Miller,US
INV0000003,Kenji Garcia,RO
INV0000004,Greta Williams,US
INV0000005,Emma Martin,DE
INV0000006,Ivan Demir,US
INV0000007,Akira Moore,US
INV0000008,Beatriz Novak,CA
INV0000009,Thomas Schneider,IT
INV0000010,Yuki Smith,US
INV0000011,William Mueller,FR
INV0000012,Yuki Anderson,FR
INV0000013,Jing Miller,NO
INV0000014,Ahmed Miller,BR
INV0000015,Raj Demir,NL
INV0000016,David Dubois,IT
INV0000017,Olivia Suzuki,HU
INV0000018,Akira Liu,US
INV0000019,Elena Tanaka,FR
INV0000020,Daniel Jones,GB
INV0000021,Mehmet Lee,US
INV0000022,Emma Lee,CH
INV0000023,Ahmed Zhang,IN
INV0000024,Andre Tanaka,BE
INV0000025,Priya Yamamoto,FR
INV0000026,Mehmet Zhang,PT
INV0000027,Zeynep Jones,GB
INV0000028,Andre Taylor,DE
INV0000029,Charlotte Taylor,CA
INV0000030,Ahmed Zhang,US
INV0000031,Akira Lee,US
INV0000032,Ming Brown,TC
INV0000033,David Patel,BE
INV0000034,Yuki Jones,FR
INV0000035,Sanjay Patel,FR
INV0000036,Beatriz Rossi,BR
INV0000037,Beatriz Dubois,IN
INV0000038,Hiroshi Wilson,GB
INV0000039,Akira Novak,DE
INV0000040,Anita Mueller,DE
INV0000041,Fatima Tanaka,GB
INV0000042,Robert Ferrari,IT
INV0000043,Emma Brown,DE
INV0000044,Sophia Park,TH
INV0000045,Zeynep Mueller,IN
INV0000046,Michael Suzuki,CY
INV0000047,Marco Dubois,CN
INV0000048,Hiroshi Ivanov,US
INV0000049,Zeynep Davis,US
INV0000050,Kenji Zhang,US
INV0000051,Jing Davis,EG
INV0000052,Greta Taylor,FR
INV0000053,John Wang,GB
INV0000054,Isabella Ferrari,DE
INV0000055,Andre Singh,US
INV0000056,Ivan Demir,MX
INV0000057,Sophia Tanaka,IT
INV0000058,Kenji Kowalski,US
INV0000059,Marco Patel,FR
INV0000060,Mary Davis,FR
INV0000061,Li Chen,FR
INV0000062,Charlotte Petrov,AU
INV0000063,Emma Rossi,NL
INV0000064,Kenji Wilson,DE
INV0000065,Mehmet Martinez,BE
INV0000066,William Wang,IT
INV0000067,Marco Mueller,DE
INV0000068,Kenji Moore,US
INV0000069,Li Nakamura,US
INV0000070,Beatriz Tanaka,LK
INV0000071,Anastasia Schneider,CH
INV0000072,Charlotte Lee,PL
INV0000073,Jing Johnson,AT
INV0000074,Akira Lee,US
INV0000075,Thomas Smith,FR
INV0000076,Andre Brown,GB
INV0000077,Michael Williams,BR
INV0000078,Michael Ferrari,GB
INV0000079,Yuki Rossi,GB
INV0000080,Kenji Wilson,US
INV0000081,Sanjay Petrov,PT
INV0000082,Charlotte Martinez,FR
INV0000083,Daniel Miller,CH
INV0000084,Mehmet Mueller,CN
INV0000085,Greta Schmidt,ES
INV0000086,Sarah Miller,DE
INV0000087,Fatima Kumar,AT
INV0000088,Charlotte Moore,GB
INV0000089,Kenji Schneider,IN
INV0000090,Greta Thomas,US
INV0000091,Chloe Chen,AU
INV0000092,Pierre Ivanov,DE
INV0000093,Sarah Novak,US
INV0000094,Emma Chen,GB
INV0000095,Hans Rossi,IN
INV0000096,Mia Nakamura,BJ
INV0000097,William Suzuki,US
INV0000098,Ahmed Wang,CA
INV0000099,Wei Mueller,US
INV0000100,Akira Rossi,MY
INV0000101,Daniel Liu,DE
INV0000102,Sarah Ozturk,US
INV0000103,Kenji Brown,US
INV0000104,Ming Brown,DE
INV0000105,Anita Martinez,IT
INV0000106,Anastasia Taylor,CA
INV0000107,Ivan Garcia,FR
INV0000108,Michael Demir,RU
INV0000109,Zeynep Chen,CN
INV0000110,Olivia Petrov,DE
INV0000111,Anita Demir,CA
INV0000112,Elena Garcia,IT
INV0000113,Mehmet Ozturk,CH
INV0000114,Anastasia Patel,DE
INV0000115,Mia Patel,NO
INV0000116,Hiroshi Nakamura,DE
INV0000117,Mehmet Singh,BR
INV0000118,Ming Jones,US
INV0000119,Chloe Kim,ZA
INV0000120,James Jones,DE
INV0000121,Mia Ferrari,IE
INV0000122,Robert Yamamoto,NL
INV0000123,Charlotte Tanaka,US
INV0000124,William Schneider,BE
INV0000125,Li Kim,US
INV0000126,Anastasia Smith,US
INV0000127,Akira Singh,US
INV0000128,James Wilson,AT
INV0000129,Olivia Miller,DE
INV0000130,Akira Anderson,US
INV0000131,Wei Demir,FR
INV0000132,Jing Martin,US
INV0000133,Andre Wang,BE
INV0000134,Lucia Wang,GB
INV0000135,Emma Park,DE
INV0000136,Yuki Williams,US
INV0000137,Jing Wilson,US
INV0000138,Hiroshi Taylor,US
INV0000139,Pierre Ivanov,US
INV0000140,Greta Ivanov,US
INV0000141,Olivia Jones,US
INV0000142,Sophia Novak,US
INV0000143,Priya Ozturk,FR
INV0000144,Sophia Mueller,AT
INV0000145,David Singh,PL
INV0000146,David Yamamoto,HU
INV0000147,Zeynep Chen,US
INV0000148,James Yamamoto,AT
INV0000149,Hans Kim,US
INV0000150,Sophia Chen,CU
INV0000151,Isabella Schmidt,US
INV0000152,Isabella Kumar,FR
INV0000153,Mehmet Chen,CZ
INV0000154,William Miller,US
INV0000155,David Martinez,BE
INV0000156,Daniel Dubois,BE
INV0000157,Li Lee,GB
INV0000158,Mary Moore,FR
INV0000159,Jing Zhang,IT
INV0000160,Yuki Yamamoto,US
INV0000161,Ivan Nakamura,US
INV0000162,Kenji Kumar,US
INV0000163,Olivia Wang,FR
INV0000164,Anita Wang,US
INV0000165,James Demir,AU
INV0000166,Raj Patel,SE
INV0000167,Marco Ferrari,DE
INV0000168,Ahmed Petrov,GB
INV0000169,Hiroshi Williams,US
INV0000170,Greta Smith,FR
INV0000171,Kenji Moore,PT
INV0000172,Greta Jones,US
INV0000173,Jing Kim,AT
INV0000174,Mehmet Davis,US
INV0000175,Li Ferrari,AT
INV0000176,Mehmet Schmidt,GB
INV0000177,Fatima Liu,IT
INV0000178,Robert Moore,IN
INV0000179,Mehmet Suzuki,US
INV0000180,Isabella Kim,DE
INV0000181,Li Nakamura,CO
