patent_id,company_id
10554088,CMP000031
10762364,CMP000357
10638990,CMP000075
10638990,CMP000043
10758968,CMP000011
10772967,CMP000173
10772967,CMP000553
10579175,CMP000032
10579175,CMP000009
10791771,CMP000116
10538676,CMP000115
10603332,CMP000430
10638488,CMP000001
10638488,CMP000445
10540299,CMP000004
10540299,CMP000000
D906376,CMP000267
10781957,CMP000065
10789144,CMP000040
10789144,CMP000196
10831647,CMP000116
10748150,CMP000319
10557090,CMP000143
10557090,CMP000003
10855586,CMP000597
10855586,CMP000575
10620417,CMP000603
10645732,CMP000001
10758020,CMP000003
10758020,CMP000014
10670060,CMP000281
10821817,CMP000000
10836067,CMP000073
10794702,CMP000007
10794702,CMP000017
10807803,CMP000006
10807803,CMP000412
10726165,CMP000477
10731557,CMP000506
10731557,CMP000554
10756704,CMP000355
10687085,CMP000489
10687085,CMP000001
10664363,CMP000024
10763379,CMP000349
10845168,CMP000175
10845168,CMP000001
10739220,CMP000696
10527887,CMP000476
D904641,CMP000035
10544234,CMP000004
10544234,CMP000001
10826384,CMP000001
10541595,CMP000086
10651893,CMP000289
10651893,CMP000017
10587062,CMP000130
10587062,CMP000230
10715111,CMP000541
PP31960,CMP000659
PP32037,CMP000634
10696479,CMP000032
10539689,CMP000467
10774826,CMP000011
10836142,CMP000637
10836142,CMP000443
10668706,CMP000131
10802855,CMP000290
10593367,CMP000215
10586755,CMP000026
D884157,CMP000674
D884157,CMP000131
10552170,CMP000155
10552170,CMP000173
10822636,CMP000012
10675525,CMP000144
10763044,CMP000786
10643709,CMP000024
10684293,CMP000213
10680990,CMP000639
D881599,CMP000026
10824071,CMP000001
10824071,CMP000240
10744874,CMP000305
10550187,CMP000000
10633607,CMP000760
10529974,CMP000154
D903142,CMP000139
D903142,CMP000079
10528520,CMP000012
10848902,CMP000050
10692273,CMP000059
10692273,CMP000005
10789427,CMP000009
10588442,CMP000075
10791801,CMP000113
10687106,CMP000559
10555335,CMP000519
10674187,CMP000005
10765377,CMP000266
10765377,CMP000276
10854942,CMP000362
10562919,CMP000400
10562919,CMP000466
10873513,CMP000005
10592647,CMP000012
10701858,CMP000116
10611473,CMP000349
10738322,CMP000268
10738322,CMP000120
10752258,CMP000015
10645378,CMP000006
10645378,CMP000143
10737328,CMP000533
10646893,CMP000000
10646893,CMP000168
10857126,CMP000762
10857126,CMP000025
10745943,CMP000106
10750183,CMP000292
10678264,CMP000002
10678264,CMP000061
D876034,CMP000010
10850418,CMP000605
10850418,CMP000535
10758924,CMP000124
10758924,CMP000083
10617988,CMP000001
10617988,CMP000189
10771397,CMP000005
10771397,CMP000069
10634429,CMP000221
10659468,CMP000001
10659468,CMP000010
10864799,CMP000027
10605418,CMP000062
10832759,CMP000657
10556234,CMP000026
10837389,CMP000171
10687656,CMP000151
10728688,CMP000049
10728688,CMP000009
10547888,CMP000000
10853414,CMP000402
10532450,CMP000136
10681937,CMP000639
10836487,CMP000790
10752238,CMP000034
10672143,CMP000125
D876056,CMP000049
D876056,CMP000548
10652633,CMP000002
10687603,CMP000035
10687603,CMP000484
10832640,CMP000000
10832640,CMP000757
10557238,CMP000191
10866299,CMP000775
10764442,CMP000731
10527584,CMP000390
10633377,CMP000000
D891684,CMP000147
D891684,CMP000109
10699443,CMP000671
10671411,CMP000025
10681771,CMP000465
10750999,CMP000118
10839289,CMP000015
10750573,CMP000381
10750573,CMP000016
10802756,CMP000112
10802756,CMP000481
10535646,CMP000639
10767872,CMP000004
10767872,CMP000239
D887056,CMP000784
10654611,CMP000026
10654611,CMP000554
10850236,CMP000002
10850236,CMP000063
10741205,CMP000640
10610663,CMP000017
10559969,CMP000406
10821009,CMP000014
D901899,CMP000197
10841306,CMP000135
10841306,CMP000055
10535571,CMP000462
10726365,CMP000714
10640157,CMP000029
10766733,CMP000036
10673919,CMP000032
10704323,CMP000376
10838479,CMP000301
10559921,CMP000236
10559921,CMP000218
10832631,CMP000003
10604355,CMP000786
10712794,CMP000374
10864370,CMP000149
10864370,CMP000474
10833688,CMP000388
10739257,CMP000000
10524488,CMP000370
10595691,CMP000013
10743593,CMP000062
10743593,CMP000000
10577853,CMP000726
10818900,CMP000009
10862051,CMP000120
10853601,CMP000052
10853601,CMP000012
10602953,CMP000004
10612893,CMP000795
10524960,CMP000011
10833851,CMP000164
10742187,CMP000178
10642444,CMP000254
10807704,CMP000420
10611207,CMP000177
10611207,CMP000098
10615571,CMP000002
D890066,CMP000124
D881265,CMP000027
D881265,CMP000000
10575529,CMP000003
10582362,CMP000023
10625816,CMP000000
10625816,CMP000260
D884311,CMP000003
10689163,CMP000028
10689163,CMP000339
10614101,CMP000006
10712514,CMP000258
10773762,CMP000416
10560086,CMP000005
10824576,CMP000061
10870768,CMP000001
10758869,CMP000593
10684189,CMP000783
10534565,CMP000073
10534565,CMP000110
10685630,CMP000092
10676526,CMP000251
10779630,CMP000024
10853519,CMP000274
10868340,CMP000010
10868340,CMP000024
D879957,CMP000025
D879957,CMP000244
10661893,CMP000759
10529739,CMP000765
10529739,CMP000460
10864259,CMP000139
10864259,CMP000024
10585510,CMP000331
10794791,CMP000073
10617141,CMP000006
10873743,CMP000013
10873743,CMP000039
10840547,CMP000014
10840547,CMP000008
10834033,CMP000448
10679764,CMP000100
10679764,CMP000000
PP32180,CMP000227
PP32180,CMP000039
D896940,CMP000289
10532512,CMP000306
10532512,CMP000019
10796803,CMP000753
10626353,CMP000001
10529438,CMP000006
10529438,CMP000005
10840127,CMP000371
10840127,CMP000001
10761983,CMP000414
10761983,CMP000034
10642207,CMP000448
10584826,CMP000465
10584826,CMP000007
10805327,CMP000287
10730037,CMP000005
10730037,CMP000315
10827991,CMP000592
10768289,CMP000106
10768289,CMP000126
10537038,CMP000644
10739486,CMP000030
10739486,CMP000307
D897163,CMP000660
D881646,CMP000175
10653357,CMP000088
10840368,CMP000360
10740457,CMP000230
10808327,CMP000278
10808327,CMP000039
D876800,CMP000040
10870214,CMP000003
10870214,CMP000054
10573952,CMP000072
10590763,CMP000009
10582087,CMP000069
10582087,CMP000299
10843050,CMP000001
10843050,CMP000169
10616012,CMP000458
10536675,CMP000517
10536675,CMP000343
10576732,CMP000000
D889390,CMP000081
10695395,CMP000095
10559097,CMP000007
10769901,CMP000103
10769901,CMP000000
10785676,CMP000151
10785676,CMP000206
10564041,CMP000092
10710971,CMP000013
10726523,CMP000000
10715933,CMP000043
10792336,CMP000002
10733137,CMP000024
10733137,CMP000032
10601706,CMP000009
10601706,CMP000257
10699462,CMP000501
10582067,CMP000000
10785013,CMP000125
10785013,CMP000002
10610382,CMP000029
10610382,CMP000146
10868774,CMP000011
10668003,CMP000007
10730805,CMP000020
10678520,CMP000110
10643168,CMP000564
10643168,CMP000196
10832620,CMP000043
10798583,CMP000443
10582778,CMP000272
10582778,CMP000058
10691151,CMP000129
D877763,CMP000355
10529102,CMP000632
10529102,CMP000780
10879334,CMP000024
10569625,CMP000049
10616182,CMP000028
10616182,CMP000006
10663021,CMP000029
10729431,CMP000220
10729431,CMP000175
10874276,CMP000796
10790859,CMP000104
10547809,CMP000000
10865518,CMP000065
10865518,CMP000723
10636006,CMP000102
10636006,CMP000747
10787321,CMP000674
10599095,CMP000322
D896048,CMP000402
10693445,CMP000014
10693445,CMP000011
10805587,CMP000005
10805587,CMP000749
10877441,CMP000199
10877441,CMP000008
10547984,CMP000017
10609207,CMP000007
10609207,CMP000010
10642578,CMP000213
10642578,CMP000125
10861622,CMP000324
10861622,CMP000797
D906193,CMP000433
10683628,CMP000001
10807864,CMP000009
10807864,CMP000040
10742359,CMP000004
10742359,CMP000344
10556931,CMP000012
10537133,CMP000062
10537133,CMP000570
10623564,CMP000303
10623564,CMP000623
10683709,CMP000019
10651943,CMP000748
10710756,CMP000226
10710756,CMP000358
10880775,CMP000010
10880775,CMP000290
10751671,CMP000122
10790312,CMP000429
10690035,CMP000040
10657326,CMP000000
D884799,CMP000001
10814912,CMP000047
10549563,CMP000209
10549563,CMP000261
10785945,CMP000008
10736796,CMP000001
10736796,CMP000698
10595032,CMP000178
10564692,CMP000008
10564692,CMP000012
10648301,CMP000456
10648301,CMP000000
10866466,CMP000000
10664136,CMP000029
10847871,CMP000001
10709262,CMP000028
10539095,CMP000076
10539095,CMP000043
10850735,CMP000329
10652924,CMP000000
10790766,CMP000054
10790766,CMP000020
10578525,CMP000100
10540381,CMP000297
10805251,CMP000002
10805251,CMP000133
10728658,CMP000313
10728658,CMP000004
10551823,CMP000620
10551823,CMP000053
10713778,CMP000475
10705352,CMP000109
10675696,CMP000052
10634062,CMP000735
10634062,CMP000108
10713273,CMP000520
10573874,CMP000000
10760310,CMP000057
