patent_id,section_code,subclass
10550020,C,C02F
10550066,C,C07C
10550066,A,A61K
10550066,A,A61P
10550066,Y,Y02A
10550083,C,C07D
10550113,C,C07D
10550113,A,A61P
10550118,C,C07D
10550118,A,A61K
10550118,A,A61P
10550134,C,C07F
10550134,C,C07D
10550134,C,C09K
10550134,H,H10K
10550146,C,C07J
10550146,A,A61P
10550157,C,C07K
10550157,A,A61K
10550157,Y,Y02A
10550178,C,C07K
10550178,C,C12N
10550178,C,C12P
10550178,A,A61K
10550179,C,C07K
10550179,A,A61K
10550179,A,A61P
10550179,C,C12N
10550187,C,C07K
10550187,A,A61B
10550187,A,A61F
10550187,A,A61K
10550187,A,A61L
10550187,A,A61M
10550217,C,C08F
10550217,B,B29D
10550217,C,C08G
10550217,G,G02B
10550217,B,B29K
10550236,C,C08J
10550236,B,B65B
10550236,B,B65D
10550236,C,C08K
10550265,C,C08L
10550272,C,C09D
10550272,A,A61L
10550272,F,F15D
10550272,B,B05D
10550308,C,C09K
10550308,E,E21B
10550311,C,C09K
10550311,B,B01J
10550311,E,E21B
10550336,C,C10G
10550354,C,C11D
10550354,A,A47L
10550372,C,C12N
10550372,A,A61K
10550372,A,A61P
10550372,C,C12Q
10550372,C,C12Y
10550372,Y,Y02A
10550375,C,C12N
10550375,A,A23K
10550375,A,A23L
10550375,A,A61K
10550375,A,A61P
10550375,C,C12C
10550375,C,C12P
10550375,C,C12Y
10550375,Y,Y02A
10550375,Y,Y02E
10550377,C,C12N
10550377,A,A61P
10550377,C,C07K
10550377,A,A61K
10550453,C,C22C
10550453,B,B22D
10550484,C,C25B
10550490,C,C25D
10550490,G,G06F
10550531,E,E01F
10550531,F,F21V
10550531,F,F21W
10550531,F,F21Y
10550578,E,E04F
10550603,E,E05B
10550603,E,E05C
10550603,H,H01F
10550603,Y,Y10T
10550608,E,E05B
10550613,E,E05C
10550613,E,E05B
10550613,Y,Y10T
10550680,E,E21B
10550680,C,C04B
10550680,C,C09K
10550680,G,G01V
10550686,E,E21B
10550749,F,F01N
10550749,Y,Y02T
10550778,F,F02D
10550778,F,F02M
10550778,F,F02P
10550778,Y,Y02T
10550806,F,F02M
10550806,F,F02B
10550806,F,F02D
10550806,Y,Y02T
10550827,F,F03D
10550827,F,F16D
10550827,F,F16F
10550827,F,F05B
10550827,Y,Y02E
10550827,Y,Y02P
10550846,F,F04B
10550846,F,F04D
10550846,F,F01D
10550855,F,F04D
10550902,F,F16D
10550925,F,F16H
10550925,B,B62M
10550935,F,F16H
10550954,F,F16K
10550954,E,E03F
10550984,F,F16L
10550984,G,G21D
10550984,Y,Y02E
10550991,F,F16M
10550991,B,B64U
10551001,F,F17C
10551012,F,F21L
10551012,F,F21V
10551012,F,F21Y
10551020,F,F21S
10551020,B,B60Q
10551020,G,G02B
10551020,G,G02F
10551020,F,F21Y
10551036,F,F21V
10551036,F,F21Y
10551049,F,F21V
10551049,F,F21K
10551049,F,F21Y
10551061,F,F23G
10551061,B,B01J
10551061,F,F23C
10551061,F,F23D
10551061,F,F23R
10551061,Y,Y02E
10551121,F,F26B
10551121,B,B27N
10551121,F,F23G
10551121,F,F23L
10551121,Y,Y02E
10551137,F,F41A
10551137,F,F41C
10551157,F,F42B
10551157,A,A45F
10551159,G,G01B
10551159,G,G01C
10551208,G,G01C
10551208,G,G01S
10551208,G,G06Q
10551208,G,G08G
10551253,G,G01K
10551253,F,F02C
10551273,G,G01M
10551273,F,F01M
10551281,G,G01M
10551281,G,G05B
10551281,G,G06F
10551307,G,G01N
10551307,C,C03B
10551307,G,G01M
10551307,G,G02B
10551320,G,G01N
10551376,G,G01N
10551396,G,G01N
10551417,G,G01R
10551418,G,G01R
10551418,H,H02P
10551460,G,G01R
10551460,G,G01N
10551462,G,G01R
10551537,G,G02B
10551537,C,C09K
10551537,B,B32B
10551537,C,C08G
10551537,C,C08L
10551537,G,G02F
10551578,G,G02B
10551603,G,G02B
10551603,G,G01N
10551605,G,G02B
10551605,G,G01N
10551626,G,G02B
10551626,H,H01S
10551640,G,G02F
10551640,G,G02B
10551640,H,H04J
10551674,G,G02F
10551674,C,C08J
10551674,C,C09K
10551683,G,G02F
10551683,C,C09J
10551712,G,G02F
10551712,B,B60R
10551721,G,G03B
10551721,A,A61B
10551721,G,G01T
10551721,H,H04N
10551722,G,G03B
10551722,C,C03B
10551722,H,H04N
10551747,G,G03F
10551747,G,G02B
10551750,G,G03F
10551750,G,G01N
10551751,G,G03F
10551753,G,G03F
10551756,G,G03G
