patent_id,inventor_id
10554088,INV0003235
10554088,INV0003447
10554088,INV0004833
10762364,INV0000992
10641879,INV0001894
10641879,INV0000069
10641879,INV0003063
10823423,INV0000018
10638990,INV0003715
10638990,INV0000775
10758968,INV0000373
10758968,INV0000000
10772967,INV0001239
10579175,INV0001060
10579175,INV0000025
10579175,INV0003150
10791771,INV0000017
10791771,INV0001080
10538676,INV0001886
10603332,INV0000074
10603332,INV0000642
10603332,INV0000006
10638488,INV0003058
10638488,INV0000039
10638488,INV0000494
10540299,INV0000006
D906376,INV0000439
10666156,INV0000148
10781957,INV0000007
10781957,INV0000430
10840857,INV0000000
10840857,INV0000316
10789144,INV0002140
10789144,INV0000002
10789144,INV0000026
10831647,INV0002117
10831647,INV0000004
10831647,INV0000000
10748150,INV0003162
10748150,INV0000138
10557090,INV0001700
10557090,INV0000001
10855586,INV0000217
10855586,INV0000003
10855586,INV0001277
10620417,INV0000028
10620417,INV0000335
10645732,INV0001596
10645732,INV0000424
10758020,INV0000499
10758020,INV0002020
10670060,INV0000139
10670060,INV0001525
10670060,INV0001194
10821817,INV0000001
10821817,INV0000002
10821817,INV0002436
10879093,INV0001839
10879093,INV0000082
10879093,INV0000507
10836067,INV0000037
10836067,INV0000237
10794702,INV0000271
10794702,INV0000956
10794702,INV0000006
10807803,INV0000904
10807803,INV0001547
10726165,INV0000007
10731557,INV0000003
10731557,INV0000830
10756704,INV0002287
10756704,INV0000985
10756704,INV0000009
10687085,INV0003497
10664363,INV0000227
10664363,INV0000017
10664363,INV0002531
10763379,INV0000108
10763379,INV0002527
10845168,INV0000006
10845168,INV0002199
10739220,INV0001440
10739220,INV0000177
10739220,INV0001246
10527887,INV0000512
10761545,INV0001723
10761545,INV0001939
10761545,INV0000000
D904641,INV0000741
10544234,INV0001259
10544234,INV0000003
10544234,INV0002181
10815895,INV0000012
10815895,INV0000863
10815895,INV0000043
10826384,INV0002551
10826384,INV0000195
10541595,INV0000006
10651893,INV0000001
10651893,INV0002476
10651893,INV0002695
10587062,INV0001533
10587062,INV0000118
10715111,INV0001051
10715111,INV0001455
10715111,INV0000197
PP31960,INV0000073
PP32037,INV0000022
10696479,INV0000833
10539689,INV0002107
