country,inventor,patent_count,country_rank,country_dense_rank,global_row
AD,David Ivanov,19,1,1,2157
AE,Jing Brown,10,1,1,4116
AL,Wei Schneider,28,1,1,1308
AL,Hans Martin,6,2,2,4873
AM,Pierre Garcia,72,1,1,389
AM,Raj Moore,10,2,2,4117
AR,Hans Petrov,46,1,1,691
AR,Robert Wilson,30,2,2,1195
AR,Zeynep Wang,16,3,3,2651
AR,Anastasia Chen,10,4,4,4118
AR,Priya Smith,9,5,5,4376
AT,Jing Johnson,299,1,1,67
AT,Fatima Kumar,237,2,2,90
AT,James Wilson,203,3,3,109
AT,Sophia Mueller,155,4,4,155
AT,James Yamamoto,153,5,5,159
AT,Jing Kim,139,6,6,177
AT,Li Ferrari,124,7,7,205
AT,Olivia Taylor,109,8,8,239
AT,Isabella Kowalski,106,9,9,248
AT,Pierre Rossi,74,10,10,375
AT,Hans Rossi,71,11,11,395
AT,Isabella Ozturk,67,12,12,431
AT,Yuki Moore,62,13,13,476
AT,Priya Nakamura,53,14,14,586
AT,Pierre Suzuki,51,15,15,621
AT,Priya Wilson,49,16,16,648
AT,Mary Schneider,47,17,17,679
AT,Wei Patel,44,18,18,734
AT,Ivan Park,43,19,19,766
AT,Greta Wilson,42,20,20,790
AT,Yuki Wilson,38,21,21,880
AT,Priya Kumar,37,22,22,905
AT,Chloe Novak,36,23,23,936
AT,Sanjay Lee,36,23,23,937
AT,Wei Wang,35,25,24,969
AT,Michael Johnson,33,26,25,1045
AT,John Taylor,32,27,26,1092
AT,Greta Ferrari,30,28,27,1196
AT,Sanjay Ivanov,30,28,27,1197
AT,Lucia Novak,29,30,28,1253
AT,Kenji Suzuki,28,31,29,1309
AT,Mehmet Singh,27,32,30,1371
AT,Hans Yamamoto,26,33,31,1430
AT,Elena Anderson,25,34,32,1493
AT,Ming Ferrari,25,34,32,1494
AT,Charlotte Williams,25,34,32,1495
AT,Kenji Miller,23,37,33,1683
AT,Akira Smith,22,38,34,1785
AT,Zeynep Mueller,22,38,34,1786
